plots_cells,plots_size,plots_size_L0,plots_size_L1,plots_size_L2,caseID,caseDir
5242880,1.941366925e9,1.427158072e9,3.6353394e7,1.07478595e8,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00190
5505024,2.087621645e9,1.498515977e9,4.0837347e7,1.23200938e8,case4_cfl3_maxl4,sedov_2d_cyl_in_cart_plt00200
262144,7.3006438e7,7.1357875e7,633563.0,1.004312e6,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00000
524288,1.46129613e8,1.4271578e8,1.267155e6,2.125347e6,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00010
786432,2.19252783e8,2.14073685e8,1.900743e6,3.246382e6,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00020
1048576,2.92375955e8,2.8543159e8,2.534331e6,4.367417e6,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00030
1310720,3.65499118e8,3.56789491e8,3.167919e6,5.488447e6,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00040
1572864,4.39257886e8,4.28147396e8,3.801509e6,7.244782e6,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00050
1835008,5.14269929e8,4.99505301e8,4.922524e6,9.767071e6,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00060
2097152,5.90199596e8,5.70863206e8,6.043539e6,1.3206639e7,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00070
2359296,6.66129256e8,6.42221111e8,7.16455e6,1.6646199e7,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00080
2621440,7.44938595e8,7.13579016e8,8.920845e6,2.2329494e7,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00090
2883584,8.25836761e8,7.84936921e8,1.144309e7,2.9335801e7,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00100
3145728,9.08216687e8,8.56294826e8,1.3965321e7,3.7823301e7,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00110
3407872,9.90596608e8,9.27652731e8,1.6487551e7,4.6310799e7,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00120
3670016,1.075495135e9,9.99010636e8,1.9927028e7,5.6399796e7,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00130
3932160,1.162158009e9,1.070368541e9,2.3366506e7,6.8252108e7,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00140
4194304,1.251744981e9,1.141726446e9,2.7850461e7,8.1984446e7,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00150
4456448,1.3433214e9,1.213084351e9,3.2334414e7,9.7706789e7,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00160
4718592,1.434897822e9,1.284442258e9,3.6818376e7,1.1342912e8,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00170
4980736,1.529832095e9,1.355800163e9,4.2501521e7,1.31310026e8,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00180
5242880,1.627087735e9,1.427158068e9,4.8184663e7,1.51511257e8,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00190
5505024,1.728103211e9,1.498515973e9,5.5190814e7,1.74149597e8,case4_cfl4_maxl2,sedov_2d_cyl_in_cart_plt00200
262144,7.564582e7,7.1357875e7,633563.0,1.121009e6,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00000
524288,1.51291872e8,1.4271578e8,1.267155e6,2.242044e6,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00010
786432,2.26937911e8,2.14073685e8,1.900743e6,3.363079e6,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00020
1048576,3.03501627e8,2.8543159e8,2.534331e6,4.484114e6,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00030
1310720,3.80065345e8,3.56789495e8,3.167919e6,5.605149e6,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00040
1572864,4.59508843e8,4.281474e8,3.801508e6,7.361486e6,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00050
1835008,5.41528523e8,4.99505305e8,4.922523e6,9.883787e6,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00060
2097152,6.27548771e8,5.7086321e8,6.043538e6,1.3323351e7,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00070
2359296,7.18893075e8,6.42221115e8,7.799837e6,1.7807388e7,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00080
2621440,8.12226707e8,7.13579022e8,9.556132e6,2.2291425e7,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00090
2883584,9.11239763e8,7.84936927e8,1.1312427e7,2.7974719e7,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00100
3145728,1.017339156e9,8.56294832e8,1.3834671e7,3.4981009e7,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00110
3407872,1.130513955e9,9.27652737e8,1.6356909e7,4.3468513e7,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00120
3670016,1.252335026e9,9.99010642e8,1.9796391e7,5.3557512e7,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00130
3932160,1.379169371e9,1.070368547e9,2.3235867e7,6.5409807e7,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00140
4194304,1.515914553e9,1.141726452e9,2.7719816e7,7.9142142e7,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00150
4456448,1.656320232e9,1.213084357e9,3.2203773e7,9.2874484e7,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00160
4718592,1.806514128e9,1.284442262e9,3.6687726e7,1.08596822e8,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00170
4980736,1.968421727e9,1.355800169e9,4.2370863e7,1.26477745e8,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00180
5242880,2.137036881e9,1.427158074e9,4.8054002e7,1.46678981e8,case4_cfl4_maxl4,sedov_2d_cyl_in_cart_plt00190
